id,name,description,category,price,image
1,Blue Sneakers,Comfortable blue running sneakers,Clothing,2999,https://via.placeholder.com/150?text=Blue+Sneakers
2,Red T-Shirt,Stylish cotton red T-shirt,Clothing,799,https://via.placeholder.com/150?text=Red+TShirt
3,Wireless Earbuds,Noise-cancelling Bluetooth earbuds,Electronics,3499,https://via.placeholder.com/150?text=Earbuds
4,Smartwatch,Water-resistant smartwatch with heart rate monitor,Electronics,5999,https://via.placeholder.com/150?text=Smartwatch
5,Backpack,Durable travel backpack,Accessories,1999,https://via.placeholder.com/150?text=Backpack
6,Sunglasses,UV-protected aviator sunglasses,Accessories,1299,https://via.placeholder.com/150?text=Sunglasses
7,Yoga Mat,Non-slip fitness yoga mat,Fitness,899,https://via.placeholder.com/150?text=Yoga+Mat
8,Novel Book,Bestselling mystery thriller book,Books,499,https://via.placeholder.com/150?text=Book
9,Lipstick,Long-lasting matte lipstick,Beauty,699,https://via.placeholder.com/150?text=Lipstick
10,LED Lamp,Rechargeable LED desk lamp,Home,1199,https://via.placeholder.com/150?text=Lamp
